Summary Result file:# Time: 2023-01-13T17:13:09.128836500

dataSetName    total_load     UP_u           UP_c           LMP_min        LMP_arith_avg  LMP_avg_buyer_cost  LMP_median     LMP_max        LP+_min        LP+_arith_avg  LP+_avg_buyer_cost  LP+_median     LP+_max        bal_cost_c     bal_cost_u     constraints_cost    income_UP      income_LMP     income_LP+     surplus_UP     surplus_LMP    surplus_LP+    sys_profit_UP       sys_profit_LMP      sys_profit_LP+      sup_profit_UP       sup_profit_LMP      sup_profit_LP+      lmp_prof_over_up    lp+_prof_over_up    num_of_comp_nodes   
Sorted by default (by data set name):
17_summer      10161,15       590            590            337,89         421,25         426,45              412,48         621,11         337,89         429,37         434,69              413,39         616,09         3431890,09     3289750,17     142139,92           5995078,21     4333262,40     4416952,72     2705328,04     901372,32      985062,63      0,00                901372,32           511878,11           2705328,04          0,00                473184,52           1661815,81          1578125,49          7                   
18_summer      10644,26       590            590            369,00         403,73         403,84              383,93         534,22         369,00         413,91         417,06              384,00         590,00         3629737,62     3469551,71     160185,90           6280112,92     4298613,54     4439304,07     2810561,21     668875,92      809566,46      0,00                668875,92           313884,48           2810561,21          0,00                495681,97           1981499,38          1840808,85          7                   
19_summer      11467,14       590            590            369,00         418,51         421,04              399,48         552,90         369,00         427,33         431,60              400,80         590,00         3969822,83     3779712,30     190110,53           6765611,63     4828079,20     4949255,39     2985899,33     858256,38      979432,56      0,00                858256,38           445430,74           2985899,33          0,00                534001,82           1937532,42          1816356,24          7                   
20_summer      12650,32       590            590            333,97         427,37         430,59              402,72         611,81         333,97         435,17         439,60              403,17         611,81         4453504,02     4228616,93     224887,09           7463690,86     5447133,73     5561101,76     3235073,93     993629,71      1107597,74     0,00                993629,71           518497,34           3235073,93          0,00                589100,40           2016557,13          1902589,10          7                   
21_summer      13482,00       590            590            339,00         435,82         440,32              408,71         631,79         339,00         443,12         448,63              409,83         631,79         4820170,52     4547407,08     272763,45           7954381,66     5936410,22     6048446,98     3406974,58     1116239,69     1228276,45     0,00                1116239,69          600446,40           3406974,58          0,00                627830,05           2017971,44          1905934,68          7                   
22_summer      13300,95       590            590            339,00         439,72         445,48              422,21         633,29         339,00         446,29         451,75              425,48         633,29         4739744,24     4477667,52     262076,72           7847560,06     5925276,67     6008766,26     3369892,55     1185532,43     1269022,02     0,00                1185532,43          649623,27           3369892,55          0,00                619398,75           1922283,40          1838793,81          7                   
23_summer      11865,47       590            590            327,05         443,68         438,88              392,49         775,29         327,05         450,17         447,59              392,67         769,84         4112783,67     3930617,08     182166,59           7000627,95     5207539,00     5310885,27     3070010,88     1094755,33     1198101,60     0,00                1094755,33          645550,22           3070010,88          0,00                552551,38           1793088,96          1689742,68          7                   
24_summer      10821,23       590            590            368,13         410,07         411,28              396,13         505,32         368,13         419,58         422,97              396,44         590,00         3701359,72     3536075,84     165283,88           6384523,12     4450528,17     4577073,46     2848447,28     749168,45      875713,74      0,00                749168,45           371790,80           2848447,28          0,00                503922,95           1933994,95          1807449,66          7                   
End of summary sorted by total load

