Summary Result file:# Time: 2023-01-13T16:30:39.030044100

dataSetName    total_load     UP_u           UP_c           LMP_min        LMP_arith_avg  LMP_avg_buyer_cost  LMP_median     LMP_max        LP+_min        LP+_arith_avg  LP+_avg_buyer_cost  LP+_median     LP+_max        bal_cost_c     bal_cost_u     constraints_cost    income_UP      income_LMP     income_LP+     surplus_UP     surplus_LMP    surplus_LP+    sys_profit_UP       sys_profit_LMP      sys_profit_LP+      sup_profit_UP       sup_profit_LMP      sup_profit_LP+      lmp_prof_over_up    lp+_prof_over_up    num_of_comp_nodes   
Sorted by default (by data set name):
17_winter      19942,93       590            665            339,00         534,60         559,11              524,41         846,96         477,00         589,39         589,00              590,00         665,00         8088369,31     7287621,30     800748,01           11766328,60    11150344,03    11746396,76    4478707,30     3061974,73     3658027,45     0,00                3061974,73          2709734,01          4478707,30          0,00                948293,44           615984,57           19931,84            7                   
18_winter      19571,42       590            665            339,00         538,97         560,88              532,87         828,94         477,00         589,46         589,02              590,00         665,00         7879289,93     7114071,50     765218,43           11547139,27    10977291,76    11527916,72    4433067,77     3098001,83     3648626,79     0,00                3098001,83          2717998,66          4433067,77          0,00                930628,13           569847,51           19222,55            7                   
19_winter      19079,61       590            665            339,00         543,34         542,39              519,74         806,83         477,00         589,16         588,90              590,00         689,81         7604083,53     6887622,68     716460,85           11256971,58    10348677,30    11235889,62    4369348,89     2744593,78     3631806,09     0,00                2744593,78          2724563,69          4369348,89          0,00                907242,40           908294,27           21081,96            7                   
20_winter      18925,63       590            665            339,00         543,61         563,28              543,47         901,02         470,10         589,53         588,92              590,00         665,00         7517650,60     6817100,78     700549,82           11166124,59    10660450,85    11145633,39    4349023,81     3142800,25     3627982,80     0,00                3142800,25          2728062,10          4349023,81          0,00                899920,70           505673,74           20491,19            7                   
21_winter      18229,47       590            665            339,00         521,10         534,66              512,36         758,16         471,13         588,45         587,88              590,00         665,00         7131942,26     6498257,81     633684,46           10755388,00    9746568,57     10716806,04    4257130,20     2614626,31     3584863,78     0,00                2614626,31          2718045,91          4257130,20          0,00                866817,87           1008819,43          38581,96            7                   
22_winter      16909,85       590            665            339,00         497,51         509,92              477,60         694,09         468,47         587,25         586,64              590,00         627,80         6442641,22     5915647,99     526993,22           9976808,70     8622736,78     9919943,97     4061160,70     2180095,56     3477302,76     0,00                2180095,56          2673233,58          4061160,70          0,00                804069,18           1354071,92          56864,72            7                   
23_winter      15692,33       590            590            339,00         465,84         475,04              437,54         676,74         432,17         585,12         584,02              590,00         597,11         5834479,64     5406120,00     428359,64           9258476,66     7454483,38     9164703,33     3852356,67     1620003,74     3330223,69     0,00                1620003,74          2584047,64          3852356,67          0,00                746176,06           1803993,28          93773,33            7                   
24_winter      14332,06       590            590            339,00         455,08         461,24              424,38         673,15         416,41         584,42         582,99              590,00         590,00         5203846,92     4875679,91     328167,00           8455913,32     6610521,93     8355425,96     3580233,41     1406675,01     3151579,05     0,00                1406675,01          2470084,64          3580233,41          0,00                681494,40           1845391,40          100487,36           7                   
End of summary sorted by total load


Sorted by total load:
1_winter_d     14165,08       590            590            339,00         474,58         484,34              460,17         647,77         454,45         585,09         583,48              590,00         590,00         5126891,27     4811147,11     315744,16           8357396,15     6860770,50     8264986,38     3546249,04     1733879,23     3138095,11     0,00                1733879,23          2464540,58          3546249,04          0,00                673554,53           1496625,65          92409,77            7                   
